DISTRICT,SCHOOL,BEDSCODE,H,GNUMERATOR_OVERALL,GDENOM_OVERALL,GPERCENT_OVERALL,GNUMERATOR_GENDER_M,GDENOM_GENDER_M,GPERCENT_GENDER_M,GNUMERATOR_GENDER_F,GDENOM_GENDER_F,GPERCENT_GENDER_F,GNUMERATOR_RACE_W,GDENOM_RACE_W,GPERCENT_RACE_W,GNUMERATOR_RACE_B,GDENOM_RACE_B,GPERCENT_RACE_B,GNUMERATOR_RACE_H,GDENOM_RACE_H,GPERCENT_RACE_H,GNUMERATOR_RACE_I,GDENOM_RACE_I,GPERCENT_RACE_I,GNUMERATOR_RACE_A,GDENOM_RACE_A,GPERCENT_RACE_A,GNUMERATOR_DISABLED_NO,GDENOM_DISABLED_NO,GPERCENT_DISABLED_NO,GNUMERATOR_DISABLED_YES,GDENOM_DISABLED_YES,GPERCENT_DISABLED_YES,GNUMERATOR_POVERTY_NO,GDENOM_POVERTY_NO,GPERCENT_POVERTY_NO,GNUMERATOR_POVERTY_YES,GDENOM_POVERTY_YES,GPERCENT_POVERTY_YES,GNUMERATOR_MIGRANT_NO,GDENOM_MIGRANT_NO,GPERCENT_MIGRANT_NO,GNUMERATOR_MIGRANT_YES,GDENOM_MIGRANT_YES,GPERCENT_MIGRANT_YES,GNUMERATOR_LEP_NO,GDENOM_LEP_NO,GPERCENT_LEP_NO,GNUMERATOR_LEP_YES,GDENOM_LEP_YES,GPERCENT_LEP_YES,GNUMERATOR_HOMELESS_YES,GDENOM_HOMELESS_YES,GPERCENT_HOMELESS_YES,GNUMERATOR_HOMELESS_NO,GDENOM_HOMELESS_NO,GPERCENT_HOMELESS_NO
ABBEVILLE,ABBEVILLE HIGH,160001,H,104,118,88.14,52,61,85.25,52,57,91.23,50,56,89.29,49,56,87.50,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,101,111,90.99,-1,-1,-1.00,46,48,95.83,54,61,88.52,104,118,88.14,,,,102,116,87.93,-1,-1,-1.00,-1,-1,-1.00,101,113,89.38
ABBEVILLE,DIXIE HIGH,160003,H,68,78,87.18,33,42,78.57,35,36,97.22,52,61,85.25,15,15,100.00,-1,-1,-1.00,,,,,,,64,71,90.14,-1,-1,-1.00,27,27,100.00,40,43,93.02,68,78,87.18,,,,64,73,87.67,-1,-1,-1.00,-1,-1,-1.00,64,72,88.89
ABBEVILLE,DISTRICT NO CHARTER,160888,,172,196,87.76,85,103,82.52,87,93,93.55,102,117,87.18,64,71,90.14,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,165,182,90.66,7,14,50.00,73,75,97.33,94,104,90.38,172,196,87.76,,,,166,189,87.83,-1,-1,-1.00,7,11,63.64,165,185,89.19
ABBEVILLE,DISTRICT WITH CHARTER,160999,,172,196,87.76,85,103,82.52,87,93,93.55,102,117,87.18,64,71,90.14,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,165,182,90.66,7,14,50.00,73,75,97.33,94,104,90.38,172,196,87.76,,,,166,189,87.83,-1,-1,-1.00,7,11,63.64,165,185,89.19
AIKEN,SILVER BLUFF HIGH,201001,H,150,173,86.71,76,93,81.72,74,80,92.50,69,81,85.19,66,75,88.00,14,15,93.33,-1,-1,-1.00,-1,-1,-1.00,143,157,91.08,7,16,43.75,64,66,96.97,85,98,86.73,150,173,86.71,,,,145,166,87.35,-1,-1,-1.00,-1,-1,-1.00,142,164,86.59
AIKEN,AIKEN HIGH,201002,H,309,332,93.07,143,160,89.38,166,172,96.51,154,161,95.65,135,151,89.40,19,19,100.00,-1,-1,-1.00,,,,290,304,95.39,19,28,67.86,135,137,98.54,166,179,92.74,309,332,93.07,,,,294,317,92.74,15,15,100.00,-1,-1,-1.00,301,323,93.19
AIKEN,SOUTH AIKEN HIGH,201003,H,291,324,89.81,136,159,85.53,155,165,93.94,180,192,93.75,79,98,80.61,21,23,91.30,-1,-1,-1.00,10,10,100.00,277,301,92.03,14,23,60.87,191,196,97.45,90,112,80.36,291,324,89.81,,,,279,312,89.42,12,12,100.00,4,12,33.33,287,312,91.99
AIKEN,MIDLAND VALLEY HIGH,201006,H,273,305,89.51,139,161,86.34,134,144,93.06,179,197,90.86,71,84,84.52,20,21,95.24,-1,-1,-1.00,-1,-1,-1.00,256,277,92.42,17,28,60.71,139,143,97.20,115,124,92.74,273,305,89.51,,,,264,295,89.49,9,10,90.00,8,12,66.67,265,293,90.44
AIKEN,NORTH AUGUSTA HIGH,201012,H,290,324,89.51,150,172,87.21,140,152,92.11,177,190,93.16,95,115,82.61,16,17,94.12,,,,-1,-1,-1.00,267,289,92.39,23,35,65.71,186,191,97.38,90,109,82.57,290,324,89.51,,,,279,312,89.42,11,12,91.67,-1,-1,-1.00,287,317,90.54
AIKEN,WAGENER-SALLY HIGH,201015,H,58,65,89.23,24,28,85.71,34,37,91.89,21,25,84.00,37,40,92.50,,,,,,,,,,53,55,96.36,5,10,50.00,15,16,93.75,39,45,86.67,58,65,89.23,,,,58,65,89.23,,,,-1,-1,-1.00,57,63,90.48
