DISTRICT,BEDS,SCHOOL,INDEX,PRIMARY,ELEM,MIDDLE,HIGH
ABBEVILLE,0160001,ABBEVILLE HIGH,64.54,,,,H
ABBEVILLE,0160003,DIXIE HIGH,54.17,,,,H
ABBEVILLE,0160007,JOHN C. CALHOUN ELEMENTARY,88.46,,E,,
ABBEVILLE,0160016,WRIGHT MIDDLE,69.21,,,M,
ABBEVILLE,0160017,WESTWOOD ELEMENTARY,74.53,,E,,
ABBEVILLE,0160018,CHEROKEE TRAIL ELEMENTARY,56.89,,E,M,
ABBEVILLE,0160019,DIAMOND HILL ELEMENTARY,71.70,,E,M,
ABBEVILLE,0160020,LONG CANE PRIMARY,79.47,P,,,
ABBEVILLE 60,0160999,DISTRICT TOTAL,68.08,,,,
AIKEN,0201001,SILVER BLUFF HIGH,61.08,,,,H
AIKEN,0201002,AIKEN HIGH,59.24,,,,H
AIKEN,0201003,SOUTH AIKEN HIGH,42.35,,,,H
AIKEN,0201005,JEFFERSON ELEMENTARY,77.20,,E,,
AIKEN,0201006,MIDLAND VALLEY HIGH,58.46,,,,H
AIKEN,0201007,PAUL KNOX MIDDLE,48.06,,,M,
AIKEN,0201008,LANGLEY-BATH-CLEARWATER MIDDLE,65.49,,,M,
AIKEN,0201009,LEAVELLE MCCAMPBELL MIDDLE,64.17,,,M,
AIKEN,0201010,NEW ELLENTON MIDDLE,67.63,,,M,
AIKEN,0201011,NORTH AUGUSTA MIDDLE,42.46,,,M,
AIKEN,0201012,NORTH AUGUSTA HIGH,42.36,,,,H
AIKEN,0201015,WAGENER-SALLY HIGH,76.06,,,,H
AIKEN,0201016,AIKEN ELEMENTARY,63.72,,E,,
AIKEN,0201017,M. B. KENNEDY MIDDLE,41.21,,,M,
AIKEN,0201019,BELVEDERE ELEMENTARY,60.40,,E,,
AIKEN,0201021,BYRD ELEMENTARY,60.56,,E,,
AIKEN,0201022,J. D. LEVER ELEMENTARY,79.46,,E,,
AIKEN,0201024,CLEARWATER ELEMENTARY,78.85,,E,,
AIKEN,0201025,BUSBEE CORBETT ELEMENTARY MIDDLE,78.99,,E,M,
AIKEN,0201027,EAST AIKEN SCHOOL OF THE ARTS,73.39,,E,,
AIKEN,0201028,SCHOFIELD MIDDLE,62.20,,,M,
AIKEN,0201029,GLOVERVILLE ELEMENTARY,73.62,,E,,
AIKEN,0201030,GREENDALE ELEMENTARY,80.58,,E,,
AIKEN,0201031,HAMMOND HILL ELEMENTARY,50.32,,E,,
