DISTRICT,SCHOOL,BEDSCODE,GNUMERATOR_OVERALL,GDENOM_OVERALL,GPERCENT_OVERALL,GNUMERATOR_GENDER_M,GDENOM_GENDER_M,GPERCENT_GENDER_M,GNUMERATOR_GENDER_F,GDENOM_GENDER_F,GPERCENT_GENDER_F,GNUMERATOR_RACE_W,GDENOM_RACE_W,GPERCENT_RACE_W,GNUMERATOR_RACE_B,GDENOM_RACE_B,GPERCENT_RACE_B,GNUMERATOR_RACE_H,GDENOM_RACE_H,GPERCENT_RACE_H,GNUMERATOR_RACE_I,GDENOM_RACE_I,GPERCENT_RACE_I,GNUMERATOR_RACE_A,GDENOM_RACE_A,GPERCENT_RACE_A,GNUMERATOR_DISABLED_NO,GDENOM_DISABLED_NO,GPERCENT_DISABLED_NO,GNUMERATOR_DISABLED_YES,GDENOM_DISABLED_YES,GPERCENT_DISABLED_YES,GNUMERATOR_POVERTY_NO,GDENOM_POVERTY_NO,GPERCENT_POVERTY_NO,GNUMERATOR_POVERTY_YES,GDENOM_POVERTY_YES,GPERCENT_POVERTY_YES,GNUMERATOR_MIGRANT_NO,GDENOM_MIGRANT_NO,GPERCENT_MIGRANT_NO,GNUMERATOR_MIGRANT_YES,GDENOM_MIGRANT_YES,GPERCENT_MIGRANT_YES,GNUMERATOR_LEP_NO,GDENOM_LEP_NO,GPERCENT_LEP_NO,GNUMERATOR_LEP_YES,GDENOM_LEP_YES,GPERCENT_LEP_YES,GNUMERATOR_HOMELESS_YES,GDENOM_HOMELESS_YES,GPERCENT_HOMELESS_YES,GNUMERATOR_HOMELESS_NO,GDENOM_HOMELESS_NO,GPERCENT_HOMELESS_NO,GNUMERATOR_FOSTER_YES,GDENOM_FOSTER_YES,GPERCENT_FOSTER_YES,GNUMERATOR_FOSTER_NO,GDENOM_FOSTER_NO,GPERCENT_FOSTER_NO
Abbeville,ABBEVILLE HIGH,160001,117,134,87.31,70,81,86.42,47,53,88.68,61,66,92.42,52,64,81.25,-1,-1,-1.00,,,,-1,-1,-1.00,108,120,90.00,9,14,64.29,44,44,100.00,70,77,90.91,117,134,87.31,,,,115,132,87.12,-1,-1,-1.00,-1,-1,-1.00,115,131,87.79,-1,-1,-1.00,115,132,87.12
Abbeville,DIXIE HIGH,160003,65,83,78.31,26,35,74.29,39,48,81.25,52,65,80.00,13,18,72.22,,,,,,,,,,63,72,87.50,2,11,18.18,34,38,89.47,26,31,83.87,65,83,78.31,,,,63,81,77.78,-1,-1,-1.00,-1,-1,-1.00,64,79,81.01,,,,65,83,78.31
Abbeville,DISTRICT NO CHARTER,160888,182,217,83.87,96,116,82.76,86,101,85.15,113,131,86.26,65,82,79.27,-1,-1,-1.00,,,,-1,-1,-1.00,171,192,89.06,11,25,44.00,78,82,95.12,96,108,88.89,182,217,83.87,,,,178,213,83.57,-1,-1,-1.00,-1,-1,-1.00,179,210,85.24,-1,-1,-1.00,180,215,83.72
Abbeville,DISTRICT WITH CHARTER,160999,182,217,83.87,96,116,82.76,86,101,85.15,113,131,86.26,65,82,79.27,-1,-1,-1.00,,,,-1,-1,-1.00,171,192,89.06,11,25,44.00,78,82,95.12,96,108,88.89,182,217,83.87,,,,178,213,83.57,-1,-1,-1.00,-1,-1,-1.00,179,210,85.24,-1,-1,-1.00,180,215,83.72
Aiken,SILVER BLUFF HIGH,201001,133,152,87.50,73,86,84.88,60,66,90.91,48,58,82.76,73,82,89.02,11,11,100.00,,,,-1,-1,-1.00,124,137,90.51,9,15,60.00,57,60,95.00,76,84,90.48,133,152,87.50,,,,128,147,87.07,-1,-1,-1.00,-1,-1,-1.00,129,145,88.97,,,,133,152,87.50
Aiken,AIKEN HIGH,201002,299,332,90.06,152,177,85.88,147,155,94.84,139,150,92.67,126,148,85.14,31,31,100.00,-1,-1,-1.00,-1,-1,-1.00,283,299,94.65,16,33,48.48,128,131,97.71,166,188,88.30,299,332,90.06,,,,285,318,89.62,14,14,100.00,11,14,78.57,288,318,90.57,-1,-1,-1.00,298,331,90.03
Aiken,SOUTH AIKEN HIGH,201003,268,303,88.45,135,160,84.38,133,143,93.01,177,188,94.15,69,89,77.53,18,22,81.82,-1,-1,-1.00,-1,-1,-1.00,254,271,93.73,14,32,43.75,155,161,96.27,96,116,82.76,268,303,88.45,,,,259,292,88.70,9,11,81.82,-1,-1,-1.00,264,298,88.59,,,,268,303,88.45
Aiken,MIDLAND VALLEY HIGH,201006,300,338,88.76,139,165,84.24,161,173,93.06,184,201,91.54,84,101,83.17,28,32,87.50,-1,-1,-1.00,-1,-1,-1.00,283,305,92.79,17,33,51.52,125,126,99.21,157,177,88.70,300,338,88.76,,,,276,310,89.03,24,28,85.71,12,14,85.71,288,324,88.89,,,,300,338,88.76
Aiken,NORTH AUGUSTA HIGH,201012,334,374,89.30,167,195,85.64,167,179,93.30,192,207,92.75,117,139,84.17,21,24,87.50,-1,-1,-1.00,-1,-1,-1.00,311,341,91.20,23,33,69.70,202,206,98.06,128,146,87.67,334,374,89.30,,,,320,357,89.64,14,17,82.35,12,17,70.59,322,357,90.20,-1,-1,-1.00,333,373,89.28
Aiken,WAGENER-SALLY HIGH,201015,42,49,85.71,21,24,87.50,21,25,84.00,21,24,87.50,19,23,82.61,-1,-1,-1.00,,,,-1,-1,-1.00,35,38,92.11,7,11,63.64,-1,-1,-1.00,33,39,84.62,42,49,85.71,,,,42,49,85.71,,,,-1,-1,-1.00,42,47,89.36,,,,42,49,85.71
