ReportCardYear,DISTRICTNM,SCHOOLNM,SCHOOLID,SCHOOLTYPECD,street,city,state,zip,GRADESPAN,Enrollment,hdphone,URL,headname,supername,chair,TeacherCount
2018,Abbeville County School District,Abbeville High School,160001,H,701 Washington Street,Abbeville,SC,29620,9-12,479,864-366-5916,http://ahs.acsdsc.org,Dr. Charles Costner,,,33
2018,Abbeville County School District,Dixie High School,160003,H,1 Haynes Street,Due West,SC,29639,8-12,438,864-379-2186,http://dxhs.acsdsc.org/,Lori Brownlee-Brewton,,,29
2018,Abbeville County School District,John C. Calhoun Elementary School,160007,E,750 North Calhoun Shores Parkway,750 North Calhoun Shores Parkway,SC,.,PK-5,189,8640418-8016,www.acsdsc.org/jcce,Milton Scott,,,15
2018,Abbeville County School District,Wright Middle School,160016,M,111 Hwy 71,Abbeville,SC,29620,6-8,382,864-366-5998,wrms.acsd.org,Skip Hopkins,,,33
2018,Abbeville County School District,Westwood Elementary,160017,E,124 HWY 28 South,Abbeville,SC,29620,3-5,361,864-366-9604,wwes.acsdsc.org,Darren Gray,,,26
2018,Abbeville County School District,Cherokee Trail Elementary School,160018,E,6219 Highway 184 East,Donalds,SC,29638,PK-7,439,864-379-8500,ctes.acsdsc.org,Chester R. King,,,28
2018,Abbeville County School District,Cherokee Trail Elementary School,160018,M,6219 Highway 184 East,Donalds,SC,29638,PK-7,439,864-379-8500,ctes.acsdsc.org,Chester R. King,,,28
2018,Abbeville County School District,Diamond Hill,160019,E,104 Lake Secession Road,Abbeville,SC,29620,PK-7,316,864-446-2600,http://dhes.acsdsc.org/,Todd Ramey,,,22
2018,Abbeville County School District,Diamond Hill,160019,M,104 Lake Secession Road,Abbeville,SC,29620,PK-7,316,864-446-2600,http://dhes.acsdsc.org/,Todd Ramey,,,22
2018,Abbeville County School District,Long Cane Primary,160020,P,815 East Greenwood Street,Abbeville,SC,29620,PK-2,407,864-366-5924,http://sites.google.com/acsdsc/org/lcps/home,Millie A. Ricketts,,,28
2018,Abbeville County School District,Abbeville County School District,160999,D,400 Greenville Street,Abbeville,SC,29620,PK-12,3011,864-366-5427,acsdsc.org,Dr. Betty Jo Hall,Dr. Betty Jo Hall,Mr. Brad Evans,223
2018,Aiken County Public School District,Silver Bluff High School,201001,H,64 Desoto Drive,Aiken,SC,29803,9-12,622,803-652-8100,https://www.acpsd.net/SBHS,Berkeley Postell,,,40
2018,Aiken County Public School District,Aiken High School,201002,H,449 Rutland Drive,Aiken,SC,29801,9-12,1438,803-641-2500,www.acpsd.net/ahs,Garen Cofer,,,77
2018,Aiken County Public School District,South Aiken High School,201003,H,232 E. Pine Log Rd.,Aiken,SC,29803,9-12,1398,803-641-2600,www.acpsd.net/SAHS,Jill W Jett,,,77
2018,Aiken County Public School District,Jefferson Elementary,201005,E,170 Flint Drive,Warrenville,SC,29851,PK-5,529,803-593-7180,acpsd.net\JES,Becky Wilson,,,37
2018,Aiken County Public School District,Midland Valley High,201006,H,227 Mustang Drive,Graniteville,SC,29829,9-12,1422,803-593-7100,https://www.acpsd.net/MVHS,Carl White,,,83
2018,Aiken County Public School District,Paul Knox Middle School,201007,M,1804 Wells Rd.,North Augusta,SC,29841,6-8,710,803-442-6300,https://www.acpsd.net/Domain/16,"Jason A. Holt, Ed. D.",,,38
2018,Aiken County Public School District,Langley-Bath-Clearwater Middle School,201008,M,29 LIONS TRAIL,Warrenville,SC,29581,6-8,556,803-593-7260,https://www.acpsd.net/LBC,Paul M. Spadaro,,,31
2018,Aiken County Public School District,Leavelle Mccampbell Middle School,201009,M,1120 Weldon Way,Graniteville,SC,29829,6-8,653,803-663-4300,http://www.acpsd.net/LMMS,Michelle Padgett,,,32
2018,Aiken County Public School District,New Ellenton Middle Steam Magnet School,201010,M,"814 Main Street, South",New Ellenton,SC,29809,6-8,184,803-652-8200,www.acpsd.net/NEMS,Shunte Dugar,,,16
2018,Aiken County Public School District,North Augusta Middle School,201011,M,725 Old Edgefield Road,North Augusta,SC,29841,6-8,606,803-442-6200,https://www.acpsd.net/NAMS,Phyllis Gamble,,,36
2018,Aiken County Public School District,North Augusta High School,201012,H,2000 Knobcone Avenue,"North Augusta, South Carolina",SC,29841,9-12,1519,803-442-6100,https://www.acpsd.net/NAHS,John Murphy,,,81
2018,Aiken County Public School District,Wagener-Salley High School,201015,H,272 Main Street S.,Wagener,SC,29164,9-12,268,803-564-1100,https://www.acpsd.net/Domain/24,Ute Aadland,,,26
2018,Aiken County Public School District,Aiken Elementary School,201016,E,2050 Pine Log  Rd.,Aiken,SC,29083,PK-5,820,803-641-2740,https://www.acpsd.net/AES,Rebecca M. Koelker,,,51
2018,Aiken County Public School District,Minnie B. Kennedy Middle School,201017,M,274 East Pine Log Road,Aiken,SC,29803,6-8,843,803-641-2470,http://acpsd.net/KMS,Teresa B. Mitchem,,,47
2018,Aiken County Public School District,Belvedere Elementary,201019,E,201 Rhomboid Place,North Augusta,SC,29841,PK-5,653,803-442-6330,https://www.acpsd.net/Domain/27,"Salvatore A. Minolfo, PhD",,,38
2018,Aiken County Public School District,Byrd Elementary,201021,E,1225 Weldon Way,Graniteville,SC,29829,K-5,813,803-663-4320,https://www.acpsd.net/BYES,Renae W. Enlow,,,48
2018,Aiken County Public School District,J.D. Lever Elementary School,201022,E,2404 Columbia Highway North,Aiken,SC,29805,PK-5,576,803-641-2760,www.acpsd.net/JDLES,Michael Truitt,,,38
2018,Aiken County Public School District,Clearwater Elementary School,201024,E,45552 Augusta Road,Beech Island,SC,29842,PK-5,484,803-593-7240,https://www.acpsd.net/CES/,Trey Laube,,,31
2018,Aiken County Public School District,Cyril B. Busbee Elementary/A.L. Corbett Middle Schools,201025,E,10 A.L. Corbett Circle,Wagener,SC,29164,PK-8,684,803-564-1000,https://www.acpsd.net/BUSCO,Sonya Colvin,,,48
2018,Aiken County Public School District,Cyril B. Busbee Elementary/A.L. Corbett Middle Schools,201025,M,10 A.L. Corbett Circle,Wagener,SC,29164,PK-8,684,803-564-1000,https://www.acpsd.net/BUSCO,Sonya Colvin,,,48
2018,Aiken County Public School District,East Aiken School Of The Arts,201027,E,223 Old Wagener Road,Aiken,SC,29801,PK-5,628,803-641-2450,https://www.acpsd.net/EASA,Lisa A. Fallaw,,,43
2018,Aiken County Public School District,Schofield Middle School,201028,M,224 Kershaw Street NE,Aiken,SC,29801,6-8,493,803-641-2770,https://www.acpsd.net/SMS,Denise McCray,,,28
2018,Aiken County Public School District,Gloverville Elementary School,201029,E,114 Gloria Rush Circle,Gloverville,SC,29828,PK-5,331,803-593-7280,https://www.acpsd.net/GLES,Dr. Mendi Tucker,,,24
2018,Aiken County Public School District,Greendale Elementary,201030,E,505 South Boundary Ave,New Ellenton,SC,0,PK-5,429,803-652-8170.,.https://www.acpsd.net/GRES,Robin Hill- Davidson,,,33
2018,Aiken County Public School District,Hammond Hill Elementary,201031,E,901 W. Woodlawn Avenue,North Augusta,SC,29841,PK-5,747,803-442-6170,https://www.acpsd.net/hhes,Eric L. Jeffcoat,,,44
2018,Aiken County Public School District,Jackson Stem Middle School,201033,M,18731 Atomic Road,"Jackson,SC",SC,29831,6-8,322,803-471-2237,https://www.acpsd.net/Domain/9,Perry F. Smith Sr.,,,21
2018,Aiken County Public School District,Millbrook Elementary,201035,E,255 East Pine Log Road,Aiken,SC,29803,PK-5,582,803-641-2580,https://www.acpsd.net/MES,John Metts,,,39
2018,Aiken County Public School District,North Aiken Elementary School,201038,E,100 Bears Rock Road,100 Bears Rock Road,SC,29801,PK-5,459,803-641-2690,www.acpsd.net/NAI,Elisa Sanders-Pee,,,36
2018,Aiken County Public School District,North Augusta Elementary School,201039,E,400 East Spring Grove Ave,North Augusta,SC,.,PK-5,711,803-442-6280,https://www.acpsd.net/NAUES,Patricia J. Wilson,,,45
2018,Aiken County Public School District,Warrenville Elementary,201052,E,569 Howlandville Road,Warrenville,SC,29851,PK-5,459,803-663-4270,https://www.acpsd.net/wes,Charlene Heard,,,32
2018,Aiken County Public School District,Oakwood Windsor Elementary,201054,E,3773 Charleston Highway,Aiken,SC,29801,PK-5,400,803-641-2560,https://www.acpsd.net/Domain/41#calendar41/20180711/month,Lynne Shrader,,,28
2018,Aiken County Public School District,Redcliffe Elementary School,201055,E,22 Double Springs Road,Aiken,SC,29803,PK-5,721,803-827-3350,http://www.acpsd.net/RES,Julie Revelle,,,42
2018,Aiken County Public School District,Chukker Creek Elementary,201056,E,1830 Chukker Creek Road,Aiken,SC,29803,PK-5,752,803-641-2474,https://www.acpsd.net/Domain/29,Amy Gregory,,,49
2018,Aiken County Public School District,Aiken Middle School,201057,M,101 Gator Lane,Aiken,SC,29801,6-8,488,803 641-2570,https://www.acpsd.net/Domain/10,Scott N. Floyd,,,29
2018,Aiken County Public School District,Mossy Creek  Elementary School,201058,E,421 West Five Notch Road,North Augusta,SC,29860,PK-5,676,803-442-6090,https://www.acpsd.net/MCES,Stephanie Hammond,,,43
2018,Aiken County Public School District,Ridge Spring-Monetta Elementary School,201059,E,422 Hazzard Circle,Ridge Spring,SC,29129,PK-5,435,803-685-2000,https://www.acpsd.net/Domain/43,Callie A. Herlong,,,32
2018,Aiken County Public School District,Ridge Spring-Monetta Middle/High School,201060,H,10 J.P. Kneece Dr.,Monetta,SC,29105,6-12,449,(803)-685-2100,https://www.acpsd.net/Domain/17,Kyle D. Blankenship,,,36
2018,Aiken County Public School District,Ridge Spring-Monetta Middle/High School,201060,M,10 J.P. Kneece Dr.,Monetta,SC,29105,6-12,449,(803)-685-2100,https://www.acpsd.net/Domain/17,Kyle D. Blankenship,,,36
2018,Aiken County Public School District,Lloyd-Kennedy Charter,201601,E,.,.,SC,.,3-8,72,.,.,.,,,5
2018,Aiken County Public School District,Lloyd-Kennedy Charter,201601,M,.,.,SC,.,3-8,72,.,.,.,,,5
2018,Aiken County Public School District,Horse Creek Academy,201602,E,1200 Toolebeck Road,Aiken,SC,29803,PK-8,560,8032260160,www.hcacs.net,Frank G. Roberson,,,31
