District,BEDS,School,index,,,,
ABBEVILLE,160001,ABBEVILLE HIGH,67.36,,,,
ABBEVILLE,160003,DIXIE HIGH,52.49,,,,
AIKEN,201001,SILVER BLUFF HIGH,61.29,,,,
AIKEN,201002,AIKEN HIGH,61.71,,,,
AIKEN,201003,SOUTH AIKEN HIGH,42.85,,,,
AIKEN,201006,MIDLAND VALLEY HIGH,61.25,,,,
AIKEN,201012,NORTH AUGUSTA HIGH,42.37,,,,
AIKEN,201015,WAGENER-SALLY HIGH,73.72,,,,
AIKEN,201060,RIDGE SPRING-MONETTA MIDDLE HIGH,77.56,,,,
AIKEN,201603,AIKEN PERFORMING ARTS ACADEMY CHARTER,75.00,,,,
ALLENDALE,301001,ALLENDALE FAIRFAX HIGH,87.61,,,,
ANDERSON 1,401001,PALMETTO HIGH,55.52,,,,
ANDERSON 1,401002,POWDERSVILLE HIGH,33.78,,,,
ANDERSON 1,401003,WREN HIGH,36.39,,,,
ANDERSON 2,402012,BELTON HONEA PATH HIGH,50.18,,,,
ANDERSON 3,403022,CRESCENT HIGH,64.52,,,,
ANDERSON 4,404027,PENDLETON HIGH,52.49,,,,
ANDERSON 5,405038,T. L. HANNA HIGH,43.85,,,,
ANDERSON 5,405048,WESTSIDE HIGH,67.98,,,,
ANDERSON 5,405601,ANDERSON  FIVE CHARTER SCHOOL,48.10,,,,
BAMBERG 1,501001,BAMBERG-EHRHARDT HIGH,68.69,,,,
BAMBERG 2,502007,DENMARK OLAR HIGH,87.86,,,,
BARNWELL 19,619001,BLACKVILLE-HILDA HIGH,85.86,,,,
BARNWELL 29,629006,WILLISTON-ELKO HIGH,71.00,,,,
BARNWELL 45,645009,BARNWELL HIGH,68.17,,,,
BEAUFORT,701002,BEAUFORT HIGH,49.82,,,,
BEAUFORT,701003,HILTON HEAD ISLAND HIGH,39.00,,,,
BEAUFORT,701004,BATTERY CREEK HIGH,64.01,,,,
BEAUFORT,701030,BLUFFTON HIGH,47.11,,,,
BEAUFORT,701036,WHALE BRANCH EARLY COLLEGE HIGH,74.11,,,,
BEAUFORT,701039,MAY RIVER HIGH,32.82,,,,
BEAUFORT,701041,ISLANDS ACADEMY,84.34,,,,
BERKELEY,801001,STRATFORD HIGH,48.82,,,,
BERKELEY,801002,BERKELEY HIGH,55.13,,,,
BERKELEY,801006,CROSS HIGH,82.95,,,,
BERKELEY,801007,GOOSE CREEK HIGH,59.47,,,,
BERKELEY,801008,HANAHAN HIGH,46.61,,,,
BERKELEY,801043,TIMBERLAND HIGH,75.86,,,,
BERKELEY,801049,CANE BAY HIGH,45.40,,,,
BERKELEY,801051,BERKELEY COUNTY MIDDLE COLLEGE HIGH,34.29,,,,
BERKELEY,801056,PHILIP SIMMONS HIGH,44.44,,,,
CALHOUN,901001,CALHOUN COUNTY HIGH,79.82,,,,
CHARLESTON,1001001,BAPTIST HILL HIGH,87.75,,,,
CHARLESTON,1001002,NORTH CHARLESTON HIGH,87.26,,,,
CHARLESTON,1001008,GARRETT ACADEMY OF TECHNOLOGY,89.68,,,,
CHARLESTON,1001010,BURKE HIGH,92.51,,,,
CHARLESTON,1001014,WANDO HIGH,21.28,,,,
CHARLESTON,1001018,MILITARY MAGNET ACADEMY,86.55,,,,
CHARLESTON,1001020,ST. JOHNS HIGH,71.69,,,,
CHARLESTON,1001022,RB STALL HIGH,75.94,,,,
CHARLESTON,1001098,CHARLESTON SCHOOL OF THE ARTS,18.78,,,,
CHARLESTON,1001099,ACADEMIC MAGNET HIGH,7.31,,,,
CHARLESTON,1001104,WEST ASHLEY HIGH,58.17,,,,
CHARLESTON,1001615,GREG MATHIS CHARTER HIGH,98.04,,,,
CHARLESTON,1001616,JAMES ISLAND CHARTER HIGH,38.42,,,,
CHARLESTON,1001620,CHARLESTON CHARTER SCHOOL FOR MATH AND SCIENCE,52.76,,,,
CHARLESTON,1001628,PATTISON'S ACADEMY FOR COMPREHENSIVE EDUCATION,86.84,,,,
CHARLESTON,1001630,ALLEGRO CHARTER SCHOOL OF MUSIC,46.77,,,,
CHEROKEE,1101001,BLACKSBURG HIGH,65.89,,,,
CHEROKEE,1101003,GAFFNEY HIGH,64.56,,,,
CHESTER,1201002,CHESTER SENIOR HIGH,74.46,,,,
CHESTER,1201005,GREAT FALLS HIGH,75.20,,,,
CHESTER,1201006,LEWISVILLE HIGH,53.61,,,,
CHESTERFIELD,1301001,CHERAW HIGH,69.12,,,,
CHESTERFIELD,1301002,CHESTERFIELD HIGH,62.80,,,,
CHESTERFIELD,1301006,MCBEE HIGH,66.33,,,,
CHESTERFIELD,1301007,CENTRAL HIGH,69.06,,,,
CLARENDON 1,1401001,SCOTT'S BRANCH HIGH,87.74,,,,
CLARENDON 2,1402007,MANNING HIGH,82.72,,,,
CLARENDON 2,1402610,PHOENIX CHARTER HIGH,95.24,,,,
CLARENDON 3,1403016,EAST CLARENDON MIDDLE-HIGH,58.33,,,,
COLLETON,1501005,COLLETON COUNTY HIGH,74.85,,,,
DARLINGTON,1601005,HARTSVILLE HIGH,62.96,,,,
DARLINGTON,1601006,LAMAR HIGH,80.67,,,,
DARLINGTON,1601030,DARLINGTON HIGH,76.57,,,,
DARLINGTON,1601033,"MAYO HIGH FOR MATH, SCIENCE, & TECHNOLOGY",45.07,,,,
DILLON 3,1703019,LATTA HIGH,64.65,,,,
DILLON 4,1704002,LAKE VIEW HIGH,69.46,,,,
DILLON 4,1704005,DILLON HIGH,82.18,,,,
DORCHESTER 2,1802006,SUMMERVILLE HIGH,49.89,,,,
DORCHESTER 2,1802020,FORT DORCHESTER HIGH,47.96,,,,
DORCHESTER 2,1802027,ASHLEY RIDGE HIGH,38.72,,,,
DORCHESTER 4,1804019,WOODLAND HIGH,69.81,,,,
EDGEFIELD,1901002,STROM THURMOND HIGH,60.88,,,,
FAIRFIELD,2001013,FAIRFIELD CENTRAL HIGH,80.83,,,,
FLORENCE 1,2101004,SOUTH FLORENCE HIGH,63.97,,,,
FLORENCE 1,2101006,WILSON HIGH,69.00,,,,
FLORENCE 1,2101014,WEST FLORENCE HIGH,47.99,,,,
FLORENCE 2,2102024,HANNAH PAMPLICO HIGH,64.86,,,,
FLORENCE 3,2103029,LAKE CITY HIGH,85.50,,,,
FLORENCE 4,2104041,TIMMONSVILLE HIGH,91.98,,,,
FLORENCE 5,2105045,JOHNSONVILLE HIGH,59.44,,,,
GEORGETOWN,2201001,ANDREWS HIGH,71.40,,,,
GEORGETOWN,2201004,GEORGETOWN HIGH,71.61,,,,
GEORGETOWN,2201025,WACCAMAW HIGH,35.28,,,,
GEORGETOWN,2201026,CARVERS BAY HIGH,77.69,,,,
GREENVILLE,2301002,BEREA HIGH,75.00,,,,
GREENVILLE,2301003,BLUE RIDGE HIGH,39.20,,,,
GREENVILLE,2301005,CAROLINA ACADEMY (HIGH),80.40,,,,
GREENVILLE,2301006,EASTSIDE HIGH,31.66,,,,
GREENVILLE,2301008,GREENVILLE SENIOR HIGH ACADEMY,53.13,,,,
GREENVILLE,2301009,GREER HIGH,56.57,,,,
