ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,"Report
Card Type
(P,E,M,H,D)",street,city,state,zip,GRADESPAN,Enrollment,hdphone,URL,headname,supername,chair,TeacherCount
2020,"Abbeville
County School
Dist",Abbeville High School,0160001,H,701 Washington Street,Abbeville,SC,29620,9-12,453,864-366-5916,https://www.acsdsc.org/o/abbeville-high-school,Charles A. Costner,,,35
2020,"Abbeville
County School
Dist",Dixie High School,0160003,H,1 Haynes St.,Due West,SC,29639,8-12,444,864-379-2186,https://www.acsdsc.org/o/dixie-high-school,Lori Brownlee-Brewton,,,31
2020,"Abbeville
County School
Dist","John C. Calhoun
Elementary School",0160007,E,"750 North Calhoun Shores
Parkway",Calhoun Falls,SC,29628,PK-5,169,864-418-8016,www.acsdsc.org/jcce,Milton Scott,,,14
2020,"Abbeville
County School
Dist","Wright Middle/Abbeville
County School District",0160016,M,111 highway 71,Abbeville,SC,29620,6-8,383,864-366-5998,"Wrms.acsdsc.org
",Brenda Jackson,,,34
2020,"Abbeville
County School
Dist",Westwood Elementary,0160017,E,124 HWY 28 South,Abbeville,SC,29620,3-5,348,864-366-9604,acsdsc.org,Darren Gray,,,26
2020,"Abbeville
County School
Dist",Cherokee Trail Elementary,0160018,E,6219 Hwy 184 E,6219 Hwy 184 E,SC,29638,PK-7,438,8643798500,"https://www.acsdsc.org/o/cherokee-trail-elementary
-school",Donald O. Clendaniel III,,,29
2020,"Abbeville
County School
Dist",Cherokee Trail Elementary,0160018,M,6219 Hwy 184 E,6219 Hwy 184 E,SC,29638,PK-7,438,8643798500,"https://www.acsdsc.org/o/cherokee-trail-elementary
-school",Donald O. Clendaniel III,,,29
2020,"Abbeville
County School
Dist",Diamond Hill,0160019,E,104 lake secession rd,Abbeville,SC,29620,PK-7,338,864-446-2600,"https://accc.acsdsc.org/o/diamond-hill-elementary
-school",Todd Ramey,,,21
2020,"Abbeville
County School
Dist",Diamond Hill,0160019,M,104 lake secession rd,Abbeville,SC,29620,PK-7,338,864-446-2600,"https://accc.acsdsc.org/o/diamond-hill-elementary
-school",Todd Ramey,,,21
2020,"Abbeville
County School
Dist",Long Cane Primary,0160020,P,815 East Greenwood Street,Abbeville,SC,29620,PK-2,390,864-366-5924,https://www.acsdsc.org/o/long-cane-primary-school,Millie A. Ricketts,,,28
2020,"Abbeville
County School
Dist","Abbeville County School
Dist",0160999,D,400 Greenville St,Abbeville,SC,29620,PK-12,2963,8643665427,www.acsdsc.org,Dr. Julie G. Fowler,"Dr. Julie G.
Fowler","James B.
Tisdale, Jr.",230
2020,"Aiken County
Public School
District",Silver Bluff High,0201001,H,64 Desoto Drive,Aiken,SC,29803,9-12,653,803-652-8100,https://www.acpsd.net/SBHS,Berkeley Postell,,,40
2020,"Aiken County
Public School
District",Aiken High School,0201002,H,449 Rutland Drive,Aiken,SC,29801,9-12,1288,803-641-2500,www.acpsd.net/ahs,Jason Holt,,,75
2020,"Aiken County
Public School
District",South Aiken High School,0201003,H,232 East Pine Log Road,Aiken,SC,29803,9-12,1422,803-641-2600,https://www.acpsd.net/sahs,Samuel Fuller,,,79
2020,"Aiken County
Public School
District",Jefferson Elementary,0201005,E,170 Flint Drive,Warrenville,SC,29851,PK-5,586,803-593-7180,www.acpsd.net/JES,Rebecca Wilson,,,39
2020,"Aiken County
Public School
District",Midland Valley High School,0201006,H,227 Mustang Drive,Graniteville,SC,29829,9-12,1282,803-593-7100,https://www.acpsd.net/Domain/21,Carl White,,,77
2020,"Aiken County
Public School
District",Paul Knox Middle School,0201007,M,1804 Wells Road,North Augusta,SC,29841,6-8,802,803-442-6300,https://www.acpsd.net/Domain/16,Paige Day,,,40
2020,"Aiken County
Public School
District","Langley-Bath-Clearwater
Middle",0201008,M,29 LIONS TRAIL,Warrenville,SC,29581,6-8,657,803-593-7260,https://www.acpsd.net/LBC,Paul Spadaro,,,39
2020,"Aiken County
Public School
District","Leavelle Mccampbell
Middle School",0201009,M,1120 Weldon Way,Graniteville,SC,29829,6-8,635,[803-663-4300],https://www.acpsd.net/LMMS,Dr. Tiffany Turner Hall,,,38
2020,"Aiken County
Public School
District","New Ellenton Middle Steam
Magnet School",0201010,M,"814 Main Street, South",New Ellenton,SC,29809,6-8,273,803-652-8200,www.acpsd.net/NEMS,Shunte Dugar,,,17
2020,"Aiken County
Public School
District","North Augusta Middle
School",0201011,M,725 Old Edgefield Road,North Augusta,SC,29841,6-8,640,803-442-6200,https://www.acpsd.net/NAMS,Kimbra S. Meek,,,32
2020,"Aiken County
Public School
District",North Augusta High School,0201012,H,2000 Knobcone Ave,North Augusta,SC,29841,9-12,1541,803-442-6100,https://www.acpsd.net/Page/39,John Murphy,,,81
2020,"Aiken County
Public School
District",Wagener-Sally High,0201015,H,272 Main Street South,Wagener,SC,29164,9-12,277,803-564-1100,https://www.acpsd.net/WSHS,Chris Earl,,,26
2020,"Aiken County
Public School
District",Aiken Elementary School,0201016,E,2030 Pine Log Road,Aiken,SC,29803,PK-5,679,803-641-2740,http://www.acpsd.net/AES,Cynthia L. Hewitt,,,49
2020,"Aiken County
Public School
District","M. B. Kennedy Middle
School",0201017,M,274 E. Pine Log Road,Aiken,SC,29803,6-8,697,803-641-2470,www.acpsd.net/kms,Ryan Ashley,,,38
2020,"Aiken County
Public School
District",Belvedere Elementary,0201019,E,201 Rhomboid Pl,North Augusta,SC,29841,PK-5,632,803-442-6330,https://www.acpsd.net/Domain/27,"Salvatore A. Minolfo, Ph.D.",,,41
2020,"Aiken County
Public School
District",Byrd Elementary,0201021,E,1225 Weldon Way,Graniteville,SC,29829,PK-5,561,803-663-4320,https://www.acpsd.net/BYES,Renae W. Enlow,,,36
2020,"Aiken County
Public School
District",J.D. Lever Elementary,0201022,E,"2404 Columbia Highway
North",Aiken,SC,29805,PK-5,522,803-641-2760,www.acpsd.net/JDLES,Michael Truitt,,,38
2020,"Aiken County
Public School
District","Clearwater Elementary
School",0201024,E,4552 Augusta Road,Beech Island,SC,29842,PK-5,392,803-593-7240,https://www.acpsd.net/CES,Robert Laube,,,33
