ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,SCHOOLTYPECD,GRADRATE22,GRADRATE21,GRADRATE20,GRADRATE19
2022,Abbeville County School Dist,Abbeville High School,160001,H,82.6,88.2,83.5,85
2022,Abbeville County School Dist,Dixie High School,160003,H,89.4,89.3,88,81.7
2022,Abbeville County School Dist,Abbeville County School Dist,160999,D,85.4,88.6,85.6,83.5
2022,Aiken County Public Schools,Silver Bluff High School,201001,H,87.3,89,88.2,90.6
2022,Aiken County Public Schools,Aiken High,201002,H,90.3,88.8,92.8,93.3
2022,Aiken County Public Schools,South Aiken High School,201003,H,86.9,92.4,89.3,92.3
2022,Aiken County Public Schools,Midland Valley High School,201006,H,93.3,90.7,89.5,88.4
2022,Aiken County Public Schools,North Augusta High School,201012,H,90.8,91,92.2,90.8
2022,Aiken County Public Schools,Wagener-Salley Hs,201015,H,88.1,87.3,96.4,92.5
2022,Aiken County Public Schools,Ridge Spring-Monetta High School,201060,H,86.2,90,98.1,96.2
2022,Aiken County Public Schools,Aiken Scholars Academy,201061,H,100,*,0,0
2022,Aiken County Public Schools,Aiken County Public Schools,201999,D,89.9,90.5,91.2,91.3
2022,Allendale County Schools,Allendale Fairfax High School,301001,H,78.3,77.2,87.3,76.5
2022,Allendale County Schools,Allendale County Schools,301999,D,78.3,76.3,87.3,76.5
2022,Anderson School District One,Palmetto High School,401001,H,87.7,92.2,87,84.1
2022,Anderson School District One,Powdersville High,401002,H,97.2,92.6,94.6,96.7
2022,Anderson School District One,Wren High School,401003,H,95.2,94.8,93.2,94.9
2022,Anderson School District One,Anderson School District One,401999,D,93.1,93.3,91.6,91.9
2022,Anderson School District Two,Belton-Honea Path High School,402012,H,89.7,87.1,91.8,86.8
2022,Anderson School District Two,Anderson School District Two,402999,D,89.7,87.1,91.8,86.8
2022,Anderson School District 3,"Crescent High School
",403022,H,90.3,91.5,91,92.9
2022,Anderson School District 3,Anderson School District 3,403999,D,89.7,90.3,90.4,92.9
2022,Anderson District 4,Pendleton High School,404027,H,88,87.3,85,84.5
2022,Anderson District 4,Anderson District 4,404999,D,88,87.3,85,84.5
2022,Anderson School District Five,T. L. Hanna High,405038,H,88.1,88.8,88.1,87.1
2022,Anderson School District Five,Westside High School,405048,H,79.8,81.3,77.2,80.2
2022,Anderson School District Five,Anderson Five Charter School,405601,H,73.7,87,92.3,82.1
2022,Anderson School District Five,Anderson School District Five,405999,D,84,85.2,82.8,83.5
2022,Bamberg School District 1,Bamberg-Ehrhardt High School,501001,H,80.5,91.3,89.2,87.7
2022,Bamberg School District 1,Bamberg School District 1,501999,D,80.5,91.3,89.2,87.7
2022,Bamberg School District 2,Denmark-Olar High School,502007,H,78.7,77.5,89.2,74.6
2022,Bamberg School District 2,Bamberg School District 2,502999,D,78.7,77.5,89.2,74.6
2022,Barnwell School District 19,Blackville Hilda High School,619001,H,80,78,88.7,89.4
2022,Barnwell School District 19,Barnwell School District 19,619999,D,80,78,88.7,89.4
2022,Williston School District,Williston-Elko High School,629006,H,79.3,79.1,81.7,87.3
2022,Williston School District,Williston School District,629999,D,79.3,79.1,81.7,87.3
2022,Barnwell School District 45,Barnwell High School,645009,H,77.9,85.4,84.4,87.6
2022,Barnwell School District 45,Barnwell School District 45,645999,D,76.3,83.8,83.4,87.1
2022,Beaufort County School District,Beaufort High School,701002,H,79.7,83.9,81.1,84.4
2022,Beaufort County School District,Hilton Head Island High School,701003,H,83.1,89.4,87.3,87.8
2022,Beaufort County School District,"Battery Creek High School, Beaufort County School
District",701004,H,83.6,85.9,84.2,83.9
2022,Beaufort County School District,Bluffton High School,701030,H,93.1,91.4,82.5,85.2
2022,Beaufort County School District,Whale Branch Early College High School,701036,H,85.6,92.5,90.6,90
2022,Beaufort County School District,May River High School,701039,H,89.9,89.5,91.9,94.1
2022,Beaufort County School District,Beaufort County School District,701999,D,86.2,88.5,85.7,86.9
2022,Berkeley County School District,Stratford High School,801001,H,81.6,81.5,79.8,79.7
2022,Berkeley County School District,Berkeley High School,801002,H,84.5,81,82.7,80.2
2022,Berkeley County School District,Cross High School,801006,H,81.8,81.3,76,68.5
2022,Berkeley County School District,Goose Creek High School,801007,H,77.4,78.8,81.8,80.2
2022,Berkeley County School District,Hanahan High School,801008,H,83.7,86,88,85.1
2022,Berkeley County School District,Timberland High School,801043,H,83.9,83.2,84,81.5
2022,Berkeley County School District,Cane Bay High School,801049,H,88.7,88.4,89.7,89.2
2022,Berkeley County School District,Berkeley Middle College,801051,H,100,100,100,100
2022,Berkeley County School District,Philip Simmons High School,801056,H,94.5,92.6,88.6,0
2022,Berkeley County School District,Berkeley County School District,801999,D,84.3,83.8,84.4,82.6
2022,Calhoun County Schools,Calhoun County High School,901001,H,88.9,88.9,86.3,90.6
2022,Calhoun County Schools,Calhoun County Schools,901999,D,88.9,88.9,86.3,90.6
2022,"Charleston County School
District",Baptist Hill High,1001001,H,70.1,82.5,79.6,74
2022,"Charleston County School
District",North Charleston High,1001002,H,75.3,64,66,76.6
2022,"Charleston County School
District",Burke High,1001010,H,71.7,78.9,81.7,72
2022,"Charleston County School
District",Wando High,1001014,H,90.1,92.3,93.1,93.3
2022,"Charleston County School
District",Military Magnet Academy,1001018,H,96.1,97.4,93.9,95
2022,"Charleston County School
District",St. Johns High,1001020,H,87.4,80.2,72.5,77.8
2022,"Charleston County School
District",Rb Stall High,1001022,H,73.5,73.1,75.1,63.2
2022,"Charleston County School
District",Charleston School Of The Arts,1001098,H,96.9,99.3,97.9,97.3
2022,"Charleston County School
District",Academic Magnet High,1001099,H,100,100,100,100
2022,"Charleston County School
District",West Ashley High,1001104,H,80.9,77.1,84.1,78.2
2022,"Charleston County School
District",Greg Mathis Charter High,1001615,H,34.8,37,25,25.6
2022,"Charleston County School
District",James Island Charter High,1001616,H,93.7,90.2,93.8,91.2
2022,"Charleston County School
District",Charleston Charter School For Math And Science,1001620,H,100,97.4,96.7,94.1
2022,"Charleston County School
District",Pattisons Academy For Comprehensive Education,1001628,H,0,0,0,0
2022,"Charleston County School
District",Allegro Charter School Of Music,1001630,H,92.3,91.3,91.7,93.8
2022,"Charleston County School
District",Charleston County School District,1001999,D,84.6,84.6,86.6,84.2
2022,"Cherokee County School
District",Blacksburg High School,1101001,H,84.9,91.5,83.1,84.2
2022,"Cherokee County School
District",Gaffney High School,1101003,H,82.3,82.5,82.1,82.7
2022,"Cherokee County School
District",Cherokee County School District,1101999,D,82.5,84.6,82.3,82.6
2022,Chester County School District,Chester High School,1201002,H,76.8,72.8,80.3,71.5
2022,Chester County School District,Great Falls High School,1201005,H,95.7,89.1,76.7,86.8
2022,Chester County School District,Lewisville High School,1201006,H,83.6,91.5,90.9,93.8
2022,Chester County School District,Chester County School District,1201999,D,81.4,79.6,82.8,79
2022,"Chesterfield County School
District",Cheraw High School,1301001,H,87.3,88.1,89.2,84.7
2022,"Chesterfield County School
District",Chesterfield High School,1301002,H,88.9,89.8,88.5,85.1
2022,"Chesterfield County School
District",Mcbee High School,1301006,H,93.2,93.2,91.1,86.9
2022,"Chesterfield County School
District",Central High School,1301007,H,80.1,80.3,82.6,77.3
2022,"Chesterfield County School
District",Chesterfield County School District,1301999,D,86,86.6,87.2,83
2022,Clarendon School District 2,Manning High School,1402007,H,85.8,88.3,84.5,84.2
2022,Clarendon School District 2,Clarendon School District 2,1402999,D,85.8,88.3,84.5,84.2
2022,Clarendon 4,Scott's Branch High,1404001,H,91.4,78,86.3,85.5
2022,Clarendon 4,East Clarendon Middle-High,1404002,H,86.6,89.3,93,83.6
2022,Clarendon 4,Clarendon 4,1404999,D,87.3,*,0,0
2022,Colleton County School District,Colleton County High School,1501005,H,72.8,75,78.1,78.4
2022,Colleton County School District,Colleton County School District,1501999,D,72.8,75,78.1,78.4
2022,"Darlington County School
District",Hartsville High School,1601005,H,92.1,90.2,91.5,91.6
2022,"Darlington County School
District",Lamar High,1601006,H,97.9,98.2,98.4,100
2022,"Darlington County School
District",Darlington High School,1601030,H,90.6,89.2,83.1,87.1
2022,"Darlington County School
District","Mayo High School For Math, Science & Technology",1601033,H,100,98.6,100,100
2022,"Darlington County School
District",Darlington County School District,1601999,D,92.7,91.5,89.8,91.5
2022,Dillon School District Three,Latta High School,1703019,H,78,84.9,83.2,82.8
2022,Dillon School District Three,Dillon School District Three,1703999,D,78,84.9,83.2,81.5
2022,Dillon School District Four,Lake View High School,1704002,H,84.2,89,86.7,88.3
2022,Dillon School District Four,Dillon High School,1704005,H,79,82.6,84.2,83.6
2022,Dillon School District Four,Dillon School District Four,1704999,D,80.3,84.3,84.8,84.8
2022,Dorchester School District Two,Summerville High School,1802006,H,93,91.5,91,89.8
2022,Dorchester School District Two,Fort Dorchester High School,1802020,H,93.5,92.3,93.5,91.8
2022,Dorchester School District Two,Ashley Ridge High School,1802027,H,94.5,92.7,92,91
2022,Dorchester School District Two,Dorchester School District Two,1802999,D,93.3,91.7,91.4,90.3
2022,Dorchester District Four,Woodland High School,1804019,H,92,95.2,91.7,92.9
