ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,Report Card Type,street,city,state,zip,GRADESPAN,Enrollment,hdphone,URL,headname,supername,chair,TeacherCount
2022,"Abbeville
County School
Dist",Abbeville High School,160001,H,701 Washington St.,Abbeville,SC,29620,9-12,466,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,Scott White,,,32
2022,"Abbeville
County School
Dist",Dixie High School,160003,H,"1 Haynes St. 
",Due West,SC,29639,8-12,487,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,Paul Prescott,,,32
2022,"Abbeville
County School
Dist",John C. Calhoun Elementary School,160007,E,"750 North Calhoun Shores
Parkway",Calhoun Falls,SC,29628,PK-5,156,8644188016,www.acsdsc.org/jcce,Milt Scott,,,14
2022,"Abbeville
County School
Dist",Wright Middle,160016,M,111 Highway 71,Abbeville,SC,29620,6-8,376,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,Brenda Jackson,,,32
2022,"Abbeville
County School
Dist",Westwood Elementary School,160017,E,"124 Highway 28 By-Pass
Abbeville, SC 29620",Abbevile,SC,29620,3-5,317,8643669604,https://wwes.acsdsc.org/o/westwood-elementary,Paul Anderson,,,24
2022,"Abbeville
County School
Dist",Cherokee Trail Elementary,160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,457,8643798500,acsdsc.org,Donald O. Clendaniel III,,,28
2022,"Abbeville
County School
Dist",Cherokee Trail Elementary,160018,M,6219 Hwy 184 E,Donalds,SC,29638,PK-7,457,8643798500,acsdsc.org,Donald O. Clendaniel III,,,28
2022,"Abbeville
County School
Dist",Diamond Hill Elementary School,160019,E,104 Lake Secession Road,Abbeville,SC,29620,PK-7,320,864-446-2600,"https://dhes.acsdsc.org/o/diamond-hill-elementary
-school",Millie A. Ricketts,,,21
2022,"Abbeville
County School
Dist",Diamond Hill Elementary School,160019,M,104 Lake Secession Road,Abbeville,SC,29620,PK-7,320,864-446-2600,"https://dhes.acsdsc.org/o/diamond-hill-elementary
-school",Millie A. Ricketts,,,21
2022,"Abbeville
County School
Dist",Long Cane Primary,160020,P,815 E. Greenwood Street,Abbeville,SC,29620,PK-2,367,864-366-5924,"https://www.acsdsc.org/o/long-cane-primary-school
",Todd Ramey,,,27
2022,"Abbeville
County School
Dist",Abbeville County School Dist,160999,D,400 Greenville Street,Abbeville,SC,29620,PK-12,2946,864-366-5427,acsdsc.org,Dr. Mason Gary,Dr. Mason Gary,Brad Evans,218
2022,"Aiken County
Public Schools",Silver Bluff High School,201001,H,64 Desoto Drive,Aiken,SC,29803,9-12,624,803-652-8100,https://www.acpsd.net/SBHS,Dr. Katie Hawks,,,36
2022,"Aiken County
Public Schools",Aiken High,201002,H,449 Rutland Dr,Aiken,SC,29801,9-12,1291,8036142500,www.acpsd.net/ahs,Jason A. Holt,,,76
2022,"Aiken County
Public Schools",South Aiken High School,201003,H,232 East Pine Log Road,Aiken,SC,29803,9-12,1349,803-641-6400,www.acpsd.net/SAHS,Samuel A. Fuller,,,77
2022,"Aiken County
Public Schools",Jefferson Elementary School,201005,E,170 Flint Dr.,Warrenville,SC,29851,PK-5,539,803-593-7180,www.acpsd.net/JES,Becky Wilson,,,37
2022,"Aiken County
Public Schools",Midland Valley High School,201006,H,"
227 Mustang Drive","Graniteville, SC",SC,29829,9-12,1355,803-593-7100,https://www.acpsd.net/Domain/21,Sheldon Higgenbottom,,,77
2022,"Aiken County
Public Schools",Paul Knox Middle School,201007,M,1804 Wells Road,North Augusta,SC,29841,6-8,725,803-442-6300,https://www.acpsd.net/PKMS,Paige Day,,,38
2022,"Aiken County
Public Schools",Langley Bath Clearwater Middle School,201008,M,29 Lions Trail,Warrenville,SC,29851,6-8,634,803-593-7260,https://www.acpsd.net/LBC,Casey Rogers,,,36
2022,"Aiken County
Public Schools",Leavelle Mccampbell Middle School,201009,M,1120 Weldon Way,Graniteville,SC,29829,6-8,606,803-663-4300,https://www.acpsd.net/LMMS,Dr. Tiffany Turner Hall,,,33
2022,"Aiken County
Public Schools","New Ellenton Middle Steam Magnet
School",201010,M,"814 Main Street, South",New Ellenton,SC,29841,6-8,295,803-652-8200,www.acpsd.net/NEMS,Shunte Dugar,,,19
2022,"Aiken County
Public Schools",North Augusta Middle School,201011,M,725 Old Edgefield Road,North Augusta,SC,29841,6-8,606,803-442-6200,https://www.acpsd.net/NAMS,Kimbra Meek,,,30
2022,"Aiken County
Public Schools",North Augusta High School,201012,H,2000 Knobcone Ave,North Augusta,SC,29841,9-12,1632,803-442-6100,https://www.acpsd.net/NAHS,John Murphy,,,86
2022,"Aiken County
Public Schools",Wagener-Salley Hs,201015,H,272 Main St. (South),Wagener,SC,29164,9-12,255,803-564-1100,https://www.acpsd.net/Domain/24,Rasheem L Neloms,,,25
2022,"Aiken County
Public Schools",Aiken Elementary School,201016,E,2050 Pine Log Road,Aiken,SC,29803,PK-5,528,803-641-2740,https://www.acpsd.net/Page/45,Cynthia L. Hewitt,,,40
2022,"Aiken County
Public Schools",Kennedy Middle School,201017,M,274 E. Pine Log Road,Aiken,SC,29803,6-8,633,803-641-2470,www.acpsd.net/kms,Ryan Ashley,,,33
2022,"Aiken County
Public Schools",Belvedere Elementary School,201019,E,115 Monterey Avenue,Belvedere,SC,29841,PK-5,628,803-442-6330,https://www.acpsd.net/BES,Allyson Long,,,43
2022,"Aiken County
Public Schools",Byrd Elementary,201021,E,1225 Weldon Way,Graniteville,SC,29829,PK-5,589,803-663-4320,https://www.acpsd.net/BYES,Renae W. Enlow,,,40
2022,"Aiken County
Public Schools",J.D. Lever Elementary School,201022,E,2404 Columbia Highway north,Aiken,SC,29805,PK-5,484,803-641-2760,www.acpsd.net/JDLES,Michael Truitt,,,33
2022,"Aiken County
Public Schools",Clearwater Elementary School,201024,E,4552 Augusta Road,Beech Island,SC,29842,PK-5,361,803-593-7240,https://www.acpsd.net/CES,Leslie Lowe,,,30
2022,"Aiken County
Public Schools",East Aiken School Of The Arts,201027,E,223 Old Wagener Road,Aiken,SC,29801,PK-5,544,803-641-2450,https://www.acpsd.net/Domain/31,Lisa A. Fallaw,,,40
2022,"Aiken County
Public Schools",Schofield Middle School,201028,M,224 Kershaw St NE,Aiken,SC,29801,7-8,444,8036412770,https://www.acpsd.net/SMS,Dr. Scott Floyd,,,30
2022,"Aiken County
Public Schools",Gloverville Elementary School,201029,E,114 Gloria Rush Circle,Gloverville,SC,29828,PK-5,317,803-593-7280,https://www.acpsd.net/Domain/32,Nathan Lobaugh,,,22
