District,SIDN,School,INDEX
ABBEVILLE,160001,ABBEVILLE HIGH,66.4
ABBEVILLE,160003,DIXIE HIGH,50.7
AIKEN,201001,SILVER BLUFF HIGH,65.3
AIKEN,201002,AIKEN HIGH,61.3
AIKEN,201003,SOUTH AIKEN HIGH,43.8
AIKEN,201006,MIDLAND VALLEY HIGH,61.8
AIKEN,201012,NORTH AUGUSTA HIGH,45.2
AIKEN,201015,WAGENER-SALLY HIGH,72.5
AIKEN,201060,RIDGE SPRING-MONETTA  HIGH,77.2
AIKEN,201061,AIKEN SCHOLARS ACADEMY,26
ALLENDALE,301001,ALLENDALE FAIRFAX HIGH,94
ANDERSON 1,401001,PALMETTO HIGH,56
ANDERSON 1,401002,POWDERSVILLE HIGH,37.7
ANDERSON 1,401003,WREN HIGH,34.7
ANDERSON 2,402012,BELTON HONEA PATH HIGH,60.3
ANDERSON 3,403022,CRESCENT HIGH,62.8
ANDERSON 4,404027,PENDLETON HIGH,51.7
ANDERSON 5,405038,T. L. HANNA HIGH,42.8
ANDERSON 5,405048,WESTSIDE HIGH,70.4
ANDERSON 5,405601,ANDERSON  FIVE CHARTER SCHOOL,56.3
BAMBERG 1,501001,BAMBERG-EHRHARDT HIGH,70.2
BAMBERG 2,502007,DENMARK OLAR HIGH,89.1
BARNWELL 19,619001,BLACKVILLE-HILDA HIGH,91.4
BARNWELL 29,629006,WILLISTON-ELKO HIGH,70.9
BARNWELL 45,645009,BARNWELL HIGH,71.6
BEAUFORT,701002,BEAUFORT HIGH,53.2
BEAUFORT,701003,HILTON HEAD ISLAND HIGH,48.3
BEAUFORT,701004,BATTERY CREEK HIGH,67.1
BEAUFORT,701030,BLUFFTON HIGH,47.1
BEAUFORT,701036,WHALE BRANCH EARLY COLLEGE HIGH,76.1
BEAUFORT,701039,MAY RIVER HIGH,35.3
BERKELEY,801001,STRATFORD HIGH,56.9
BERKELEY,801002,BERKELEY HIGH,56
BERKELEY,801006,CROSS HIGH,85.4
BERKELEY,801007,GOOSE CREEK HIGH,60.6
BERKELEY,801008,HANAHAN HIGH,42.3
BERKELEY,801043,TIMBERLAND HIGH,70.8
BERKELEY,801049,CANE BAY HIGH,39.5
BERKELEY,801051,BERKELEY COUNTY MIDDLE COLLEGE HIGH,35.8
BERKELEY,801056,PHILIP SIMMONS HIGH,28.7
CALHOUN,901001,CALHOUN COUNTY HIGH,79.5
CHARLESTON,1001001,BAPTIST HILL HIGH,88
CHARLESTON,1001002,NORTH CHARLESTON HIGH,88.7
CHARLESTON,1001010,BURKE HIGH,92.1
CHARLESTON,1001014,WANDO HIGH,18.3
CHARLESTON,1001018,MILITARY MAGNET ACADEMY,85.8
CHARLESTON,1001020,ST. JOHNS HIGH,80.2
CHARLESTON,1001022,RB STALL HIGH,76
CHARLESTON,1001098,CHARLESTON SCHOOL OF THE ARTS,22.6
CHARLESTON,1001099,ACADEMIC MAGNET HIGH,10.2
CHARLESTON,1001104,WEST ASHLEY HIGH,55.2
CHARLESTON,1001121,LUCY GARRETT BECKHAM HIGH,19.7
CHARLESTON,1001615,GREG MATHIS CHARTER HIGH,96.4
CHARLESTON,1001616,JAMES ISLAND CHARTER HIGH,35.6
CHARLESTON,1001620,CHARLESTON CHARTER SCHOOL FOR MATH AND SCIENCE,57
CHARLESTON,1001628,PATTISON'S ACADEMY FOR COMPREHENSIVE EDUCATION,87.5
CHARLESTON,1001630,ALLEGRO CHARTER SCHOOL OF MUSIC,66
CHEROKEE,1101001,BLACKSBURG HIGH,63.6
CHEROKEE,1101003,GAFFNEY HIGH,67.4
CHESTER,1201002,CHESTER SENIOR HIGH,77.2
CHESTER,1201005,GREAT FALLS HIGH,80.9
CHESTER,1201006,LEWISVILLE HIGH,58.5
CHESTERFIELD,1301001,CHERAW HIGH,74.7
CHESTERFIELD,1301002,CHESTERFIELD HIGH,61.1
CHESTERFIELD,1301006,MCBEE HIGH,64.7
CHESTERFIELD,1301007,CENTRAL HIGH,71.8
CLARENDON 2,1402007,MANNING HIGH,79.8
CLARENDON 4,1404001,SCOTT'S BRANCH HIGH,89.7
CLARENDON 4,1404002,EAST CLARENDON MIDDLE-HIGH,60.8
COLLETON,1501005,COLLETON COUNTY HIGH,77.2
DARLINGTON,1601005,HARTSVILLE HIGH,67.7
DARLINGTON,1601006,LAMAR HIGH,75
DARLINGTON,1601030,DARLINGTON HIGH,80.7
DARLINGTON,1601033,"MAYO HIGH FOR MATH, SCIENCE, & TECHNOLOGY",46.5
DILLON 3,1703019,LATTA HIGH,60.7
DILLON 4,1704002,LAKE VIEW HIGH,85.1
DILLON 4,1704005,DILLON HIGH,95.3
DORCHESTER 2,1802006,SUMMERVILLE HIGH,48.4
DORCHESTER 2,1802020,FORT DORCHESTER HIGH,52.1
DORCHESTER 2,1802027,ASHLEY RIDGE HIGH,42.6
DORCHESTER 4,1804019,WOODLAND HIGH,73.5
EDGEFIELD,1901002,STROM THURMOND HIGH,55.8
