ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,SCHOOLTYPECD,street,city,state,zip,GRADESPAN,Enrollment,hdphone,URL,headname,supername,chair,TeacherCount
2023,"Abbeville
County School
District",Abbeville High School,160001,H,"701 Washington
Street",Abbeville,SC,29620,9-12,473,864-366-5916,"https://ahs.acsdsc.org/o/abbeville-high-school
",Scott White,,,32
2023,"Abbeville
County School
District",Dixie High School,160003,H,1 Haynes St.,Due West,SC,29639,8-12,507,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,Paul Prescott,,,31
2023,"Abbeville
County School
District","John C. Calhoun
Elementary School",160007,E,"750 North Calhoun
Shores Parkway",Calhoun Falls,SC,29628,PK-5,149,864-418-8016,www.acsdsc.org/jcce,Milton Scott,,,13
2023,"Abbeville
County School
District",J.S. Wright Middle School,160016,M,111 Hwy 71,Abbeville,SC,29620,6-8,346,8643665998,https://wrms.acsdsc.org/o/wright-middle-school,Brandon Burdette,,,29
2023,"Abbeville
County School
District","Westwood Elementary
School",160017,E,"124 Highway 28
By-Pass Abbeville,
SC 29620",Abbeville,SC,29620,3-5,302,8643669604,https://wwes.acsdsc.org/o/westwood-elementary,Paul Anderson,,,23
2023,"Abbeville
County School
District",Cherokee Trail Elementary,160018,E,6219 Hwy 184 E,Donalds,SC,0,PK-7,435,864-379-8500,"https://ctes.acsdsc.org/o/cherokee-trail-elementary
-school",Brian Milford,,,29
2023,"Abbeville
County School
District",Cherokee Trail Elementary,160018,M,6219 Hwy 184 E,Donalds,SC,0,PK-7,435,864-379-8500,"https://ctes.acsdsc.org/o/cherokee-trail-elementary
-school",Brian Milford,,,29
2023,"Abbeville
County School
District","Diamond Hill Elementary
School",160019,E,"104 Lake
Secession Road",Abbeville,SC,29620,PK-7,317,864-446-2600,"https://dhes.acsdsc.org/o/diamond-hill-elementary
-school",Millie Ricketts,,,22
2023,"Abbeville
County School
District","Diamond Hill Elementary
School",160019,M,"104 Lake
Secession Road",Abbeville,SC,29620,PK-7,317,864-446-2600,"https://dhes.acsdsc.org/o/diamond-hill-elementary
-school",Millie Ricketts,,,22
2023,"Abbeville
County School
District",Long Cane Primary,160020,P,"815 N. Greenwood
st.",Abbeville,SC,29620,PK-2,335,864-366-5924,https://www.acsdsc.org/o/long-cane-primary-school,Todd Ramey,,,24
2023,"Abbeville
County School
District","Abbeville County School
District",160999,D,"400 Greenville
Street",Abbeville,SC,29620,PK-12,2864,864-366-5427,https://www.acsdsc.org/,Dr. Mason Gary,"Dr. Mason
Gary","Mr. Tim
Rhodes",212
2023,"Aiken County
Public School
District",Silver Bluff High School,201001,H,64 Desoto Drive,Aiken,SC,29803,9-12,708,803-652-8100,https://www.acpsd.net/SBHS,Dr. Katie Hawks,,,37
2023,"Aiken County
Public School
District",Aiken High School,201002,H,"449 Rutland Drive
",Aiken,SC,29801,9-12,1195,803-641-2500,https://www.acpsd.net/ahs,Alisa Hamrick,,,72
